text,label
Your account has been suspended due to unusual activity. Click the link to verify.,phishing
Meeting is scheduled at 3 PM tomorrow in the main conference room.,legitimate
Your PayPal payment failed. Please update your billing information immediately.,phishing
Happy birthday! Wishing you a wonderful year ahead.,legitimate
Final warning: Your mailbox storage is full. Verify now to avoid deactivation.,phishing
Reminder: Submit the monthly report before Friday.,legitimate
Congratulations! You have won a $500 Amazon voucher. Claim it now.,phishing
Can you share the updated project file?,legitimate
Urgent: Your bank account has been locked. Login here to restore access.,phishing
Team lunch this Friday. Let me know if you can join.,legitimate
Security Alert: Someone attempted to login to your Apple ID. Verify immediately.,phishing
Please review the attached notes and send your feedback.,legitimate
Your package delivery was unsuccessful. Reschedule by clicking this link.,phishing
"Good morning, hope you have a productive day!",legitimate
Your tax refund is ready. Claim your refund by filling the attached form.,phishing
Don't forget to complete your online module by tonight.,legitimate
Your Netflix account will be terminated. Update payment details now.,phishing
Sending you the updated excel sheet for tomorrow's meeting.,legitimate
Important: You exceeded your data usage. Reactive services here.,phishing
"Thanks for helping me yesterday, really appreciate it.",legitimate
You have an unpaid toll fee. Pay immediately to avoid penalty.,phishing
Please check the meeting minutes and let me know your changes.,legitimate
Your ATM card will be blocked. Confirm your identity now.,phishing
"Just checking in, hope everything is going well.",legitimate
Your computer is infected. Download the antivirus using this link.,phishing
Attached is the travel schedule for next month's conference.,legitimate
Immediate action required: Verify your identity to continue using your account.,phishing
Let’s have a quick call at 5 PM to discuss the plan.,legitimate
Your reward points will expire soon. Redeem them here.,phishing
Thank you for submitting the assignment on time.,legitimate
Your SBI debit card is temporarily disabled. Click to activate.,phishing
Don't forget the team meeting today.,legitimate
Claim your free iPhone by participating in this survey.,phishing
Please find the attached invoice for last month.,legitimate
Your income tax filing has errors. Resolve them using this link.,phishing
See you at the workshop tomorrow!,legitimate
Urgent account activity detected. Reset your password now.,phishing
Sharing the photos from yesterday’s event.,legitimate
Update: New security policy guidelines are now live.,legitimate
